Afghanistan;Islamic Republic of Afghanistan, AFG;;;;
Canada ;Dominion of Canada (historical long form, English), Dominion du Canada (historical long form, French), Acadia (French colony), Francisca (as labeled on an old map), CAN;;;;
Cape Verde ;"Cabo Verde (official, Portuguese and English; the Government of Cabo Verde now uses that form for official purposes in English as well as Portuguese), CPV";;;;
Central African Republic ;Oubangui-Chari (former, French), Ubangi-Shari (English), R_publique Centrafricaine (official, French), Empire Centrafricain (former official, French), Central African Empire (English), CAF;;;;
Chad;Republic of Chad, TCD;;;;
Chile ;Republic of Chile (official, English), Chilli (Aymara), Chili (Quechua), Reyno de Chile (colonial Spanish), Capitania general de Chile (colonial Spanish), CHL;;;;
China;Democratic Republic of China, Republic of China (official, English), China (more common until 1971 but less common, ambiguous, English), Taiwan (common since 1970s, ambiguous), ROC (initialism), Chinese Taipei (international designation), Separate Customs Territory of Taiwan, Penghu, , Taipei, China (designation used by China to imply that Taiwan is part of China), Taiwan, Province of China (UN designation), Nationalist China (obsolete, but still mainly used by Western countries), Free China (obsolete, pro-Nationalist), Formosa (former, English), Cathay (obsolete, now mainly used poetically), Zhongguo is the name for China in Chinese language, Qing dynasty (former name), CHN;;;;
Colombia;Republic of Colombia, COL;;;;
Comoros;Union of the Comoros, COM;;;;
Congo ;Republic of Congo, Democratic republic of Congo, Congo Brazzaville, Zaire, Congo Brazzaville, Congo belge, Democratic Republic of Congo, Congo Kinshasa,  COG;;;;
Cook Islands;the Cook Islands, COK;;;;
Costa Rica;Republic of Costa Rica, CRI;;;;
Croatia ;"Hrvatska (official, Croatian; also in Serbian, Bosnian and Montenegrin), Hrva_ka (Slovenian), Republic of Croatia, HRV";;;;
Cuba;Republic of Cuba, CUB;;;;
Cyprus;Republic of Cyprus, CYP;;;;
Czechia;Czech Republic, Czechia (rare, English), Bohemia (former, English), CZE;;;;
Côte d'Ivoire;Republic of Côte d'Ivoire, Ivory Coast, CIV;;;;
Djibouti;French Territory of the Afars and the Issas, French Somaliland, Obock Territory (former names, English), Territoire français des Afars et des Issas, Cªte française des Somalis, Territoire d'Obock (former names, French), Republic of Djibouti (official, English), R_publique de Djibouti (official, French), DJI;;;;
Denmark ;Danmark (common, Danish, Swedish, Norwegian) Kingdom of Denmark (official, English), Kongeriget Danmark (official, Danish), DNK;;;;
Dominica;Commonwealth of Dominica, DMA;;;;
Dominican Republic;República Dominicana, DOM;;;;
Ecuador;Republic of Ecuador, ECU;;;;
Egypt;Mi_r (formal shortened, Arabic), Me_r (common, Arabic), Aegyptus (former, Latin), K_mi (Coptic) Arab Republic of Egypt (official, English), EGY;;;;
El Salvador;Republic of El Salvador, SLV;;;;
Equatorial Guinea;Republic of Equatorial Guinea, GNQ;;;;
Eritrea;State of Eritrea, ERI;;;;
Estonia;Eesti (common, Estonian), Viru (poetic, Estonian), Viro (common, Finnish), Estland (common, German, Swedish, Danish, Norwegian, Dutch), Maarjamaa (Terra Mariana poetic, Estonian), Igaunija (common, Latvian), EST;;;;
Ethiopia;Abyssinia (former), Habeshastan (Turkish), Federal Democratic Republic of Ethiopia (official, English), EthiopiÔ (common, Dutch), Al-Habasha (Arabic), ETH;;;;
Faroe Islands;the Faeroes, Føroyar, FRO;;;;
Fiji;Republic of Fiji, FJI;;;;
Finland;Republic of Finland (official, English), Suomi (common, Finnish), Suomen tasavalta (official, Finnish), Republiken Finland (official, Swedish), Soome (common, Estonian), FIN;;;;
France;French Republic (official, English), R_publique Française (official, French), L'Hexagone (often journalistic, colloquial French), Gaul (former name, English), Gaule (former name, French), ______ (Gallia) (Contemporary Greek name), La France (unofficial, French), Farança (common Arabic), FRA;;;;
Gabon;Gabonese Republic, GAB;;;;
Gambia;Islamic Republic of the Gambia, GMB;;;;
Georgia ;Iberia (former, English, East Georgia), Colchis (former, English, West Georgia), Iveria (usually used as Christian name), Republic of Georgia (former, before the 1995 Constitution), _______ (Gorjestan) (Persian), Sakartvelo (in their own language), GEO;;;;
Germany ;Federal Republic of Germany (official, English), Bundesrepublik Deutschland (official, German), Deutschland (common, German), BRD (German initialism), Deutsche Demokratische Republik (official, German), German Democratic Republic (official, English), DDR (German initialism), GDR (English initialism), DEU;;;;
Ghana ;Gold Coast (colonial, English), United Gold Coast Convention (UGCC), Republic of Ghana, GHA;;;;
Greece;Hellas, Hellada, Hellenic Republic, GRC;;;; 
Grenada;GRD;;;;
Guatemala;Republic of Guatemala, GTM;;;;
Guinea;Republic of Guinea, GIN;;;;
Guinea-Bissau ;Portuguese Guinea (former, English), Republic of Guinea-Bissau (official, English), Guin_-Bissao (archaic, Portuguese), GNB;;;;
Guyana;Republic of Guyana, GUY;;;;
Haiti;Republic of Haiti, HTI;;;;
Honduras;Republic of Honduras, HND;;;;
Hungary ;Republic of Hungary (official between 1946_1949 and 1989_2012), People's Republic of Hungary (official, 1918_1919 and 1949_1989), Kingdom of Hungary (1000_1918 and 1919_1946), Regnum Hungari_ (official in Latin, the language of administration until 1834), Hungaria (short form, Latin), Magyarorszàg, HUN;;;;
Iceland ;Republic of Iceland (official English description), êsland (official Icelandic name), L__veldi_ êsland (official Icelandic description), Fold (poetic name), Thule (Latin name, also poetic), FrÑn, êsafold (both poetic), ISL;;;;
India ;"Bh_rat (or Bharatham) (official name in Hindi), Bh_rat Ga_ar_jya (official long form in Hindi), India (______ in Malayalam or _______ in Tamil script) (common name in English, Malayalam, and Tamil, as well as in Hindi/Urdu in big cities; official name in Malayalam and Tamil), Republic of India (official long form in English), Union of India, Hindustan (unofficial name in Hindi/Urdu), (Al-)Hind (name in Arabic/Persian/Urdu), Aryavarta (name in Sanskrit), Bh_rat Prajatantra (official long form in Bengali), Bh_ratavar_a (name in Sanskrit), IND";;;;
Indonesia;Nusantara (dating back from Hindu era), Insulinde (from the Colonial era), Indunesia (suggestion for Dutch East Indies' modern name), IndonesiÔ (common, Dutch), Republic of Indonesia, IDN;;;;
Iran;Persia, Islamic Republic of Iran, IRN;;;;
Iraq;Mesopotamia (former name), Assyria (former/historical name), Babylon (former/historical name), Republic of Iraq, IRQ;;;;
Ireland;Äire (official Irish name), Irish Free State (1922_1937), Poblacht na hÄireann (official Irish description), Republic of Ireland (unofficial English description), Saorstàt Äireann (Irish 1922-1937), Erin, Banba, Fodla (three poetic names), IRL ;;;;
Israel;State of Israel (official English name), the Jewish State (unofficial), the Hebrew State (unofficial),ISR;;;;
Italy;Repubblica Italiana (official Italian name), Italia (common, Italian), Ausonia, Esperia, Enotria, ITA;;;;
Jamaica;Xamayca (Spanish version of Taino name), JAM;;;;
Japan;Nippon (official name in Japanese), Nihon (alternate, more common reading of __ in Japanese), Yamato, JPN;;;;
Jordan;Hashemite Kingdom of Jordan (official, English), JOR;;;;
Kazakhstan ;Republic of Kazakhstan (official English long name), Kazakhstan (English passport short name), Republic of Kazakhstan (English passport long name), Qazaqstan (Kazakh short name in Latin script), Kazakh Soviet Socialist Republic (former Soviet name, English), KAZ;;;;
Kenya;Republic of Kenya (official, English), Jamhuri ya Kenya (official, Swahili), British East Africa Protectorate (former name when held in ïprotectorateÍ status prior to becoming a colony starting in the 1880s until 1920), Kenya Colony (former name during British colonization, from the 1920 until 1963), KEN;;;;
Kiribati;Republic of Kiribati, KIR;;;;
North Korea ;Democratic People's Republic of Korea (official, English), D.P.R.K., DPRK (initialism, English), Choson Minjujuui Inmin Konghwaguk , Pyongyang Republic (derogatory name), PRK;;;;
South Korea ;Republic of Korea (official, English), R.O.K., ROK (initialism, English), Dae-han-min-guk (____) (official, Korean), Han-guk (__) (colloquial, Korean), Korea (conventional short form), Korea Republic (FIFA designation), KOR;;;;
Kosovo ;Republic of Kosovo (official, English), Republika e KosovÔs (official, Albanian);;;;
Kuwait;State of Kuwait, KWT;;;;
Kyrgyzstan ;Kyrgyz Republic (official English long name), Kyrgyz Respublikasy (Kyrgyz short name in Latin script), Kyrgyzskaya Respublika (Russian short name in Latin script), Kirghiz Soviet Socialist Republic (former Soviet name, English), Kirghizia (former common English name prior to 1991), Kirgizstan (Russian transliteration of the English name), Republic of Kyrgyzstan (official English long name, 1990-1993), KGZ;;;;
Laos;Lao People's Democratic Republic, Muang Lao, LAO;;;;
Latvia ;Latvija (common, Latvian), Lettland (German, Swedish), Letland (Dutch, Danish), Republic of Latvia, LVA;;;;
Lebanon ;Lebanese Republic (official, English), Al-Jumhuriyya Al-Lubnaniyya (official, Arabic), Lebnan or Lubnan (Common, Arabic), Liban (Common, French), LBN;;;;
Lesotho ;Basutoland (former, English), Kingdom of Lesotho (official, English), LSO;;;;
Liberia;Republic of Liberia, LBR;;;;
Libya;LBY;;;;
Lithuania ;Lietuva (common, Lithuanian), Litva, Republic of Lithuania, LTU;;;;
Luxembourg ;Grand Duchy of Luxembourg (official, English) Groussherzogdem LÔtzebuerg (official, Luxembourgish), LÔtzebuerg (common, Luxembourgish) Grand-Duch_ de Luxembourg (official, French), Luxembourg (common, French) Gro_herzogtum Luxemburg (official, German), Luxemburg (common, German) Luxemburgo (common, Spanish & Portuguese), Lussemburgo (common, Italian), LUX;;;;
Madagascar;Republic of Madagascar, MDG;;;;
Malawi;Nyasaland (former, English), Republic of Malawi (official, English), MWI;;;;
Malaysia;Persekutuan Malaysia (official long form, Malay), Federation of Malaysia (official long form, English), Malaya, Sabah and Sarawak (former, English names of the various components), Tanah Melayu or Malay Land (former, Malay), MYS;;;;
Maldives;Republic of the Maldives (official), The Maldive Islands (colloquial, colonial), MDV;;;;
Mali;Republic of Mali, MLI;;;;
Malta;Republic of Malta, MLT;;;;
Marshall Islands;Republic of the Marshall Islands, MHL;;;;
Mauritania;Islamic Republic of Mauritania (official, English), Republique Islamique de Mauritanie (official, French), MRT;;;;
Mauritius;Republic of Mauritius, MUS;;;;
Mexico;United Mexican States (official, English), Estados Unidos Mexicanos (official, Spanish), M_xico (Spanish short form), RepÏblica Mexicana (Only heard in Mexico, colloquial, Spanish), M_jico (Spanish variant), MEX (initialism), MX (initialism), Aztlàn, Aztl_n (Spanish, Nahuatl), MEX;;;;
Macedonia;The former Yugoslav Republic of Macedonia, FYROM, Paeonia (Latin name, poetic), Vardar Banovina (former Yugoslav province), Republic of Macedonia , MKD;;;;
Micronesia;Federal States of Micronesia, FSM;;;;
Monaco;Principality of Monaco, MCO;;;;
Mongolia;MNG;;;;
Moldova;Republic of Moldova (official), Republica Moldova (official, Moldovan and Romanian), Moldavian Soviet Socialist Republic (former Soviet name, English), Bessarabia, Bassarabia (historic name, still used by irredentists), MDA;;;;
Morocco;Kingdom of Morocco (official), Al Mamkaka Al Maghribiya (official, Arabic) means The Far west kingdom, Commonly known as Maghreb (The Sunset Country, English), MAR;;;;
Montenegro (official English and other languages);Crna Gora (official, Montenegrin, Serbian and Croatian), Republic of Montenegro (official until 2007), Republika Crna Gora (official until 2007), Mali i Zi (official, Albanian), Karadag (official, Turkish), Duklja (name in medieval times), Zeta (alternative name in medieval times), Black Mountain (literal translation into English), MNE;;;;
Mozambique;Republic of Mozambique, MOZ;;;;
Myanmar;Republic of the Union of Myanmar (official), Burma (colloquial), MMR;;;;
Namibia;Republic of Namibia, NAM;;;;
Nauru; Republic of Nauru, NRU;;;;
Netherlands;Kingdom of the Netherlands (official, English), Koninkrijk der Nederlanden (official, Dutch), Nederland (Dutch), Holland (pars pro toto, English, Dutch and other languages), Batavia (former and poetic, English, Dutch and other languages), Pays-Bas (French, used alongside), NLD;;;;
New Zealand ;Aotearoa (official, Maori), Realm of New Zealand (official English name including Cook Islands, Niue, Tokelau, and Ross Dependency), Dominion of New Zealand (former official, English), NZL;;;;
Nicaragua;Republic of Nicaragua, NIC;;;;
Niger;Republic of the Niger, NER;;;;
Nigeria;Federal Republic of Nigeria, NGA;;;;
Niue;NIU;;;;
Norway ;Norge (common, Norwegian BokmÎl, Danish, Swedish), Noreg (common, Norwegian Nynorsk), Kingdom of Norway (official, English), Kongeriket Norge (official, Norwegian BokmÎl), Kongeriket Noreg (official, Norwegian Nynorsk);;;;
Nepal ;Federal Democratic Republic Of Nepal (official, English), NPL;;;;
Oman;Sultanate of Oman, OMN;;;;
Pakistan ;Islamic Republic of Pakistan (official and constitutional, English), Federation of Pakistan (alternate official name, English), Dominion of Pakistan (historic official name, English), West Pakistan (common and later official name for the area now covering Pakistan, used when discussing the polity before the secession of Bangladesh), PAK;;;;
Palau ;Republic of Palau (official, English), Belau, PLW;;;;
Panama;Republic of Panama, PAN;;;;
Papua New Guinea;Independent State of Papua New Guinea, PNG;;;;
Paraguay;Republic of Paraguay, PRY;;;;
Peru ;Republic of Peru (official, English), RepÏblica del PerÏ (official, Spanish), PerÏ (common, Spanish), Peruvian Republic (former official name, English), RepÏblica Peruana (former official name, Spanish), PER;;;;
Philippines ;"RepÏblika ng Pilipinas (official, Filipino), Republic of the Philippines (official, English), Pilipinas (common, many local languages; corruption of the Spanish, Filipinas), Filipinas (common Spanish and other local languages, contraction of following), Las Islas Filipinas (named after Philip II of Spain, historical, Spanish; originally corruption of the following), Las Islas Felipenas (historical, by Ruy Lopez de Villalobos), 'Pinàs (colloquial), PH (official initialism, changed from RP to avoid confusion with Poland; see below), Philippine Islands (historic; official name under American control; also used colloquially, English), Filipina (common, Malay), PHL";;Sovereign Tagalog Nation;;
Poland ;Republic of Poland (official, English), Rzeczpospolita Polska (official, Polish), Polska (common, Polish), RP (often journalistic, Polish), People's Republic of Poland (former Communist name, English), Polska Rzeczpospolita Ludowa (former Communist name, Polish), Rzeczpospolita (historic common name, Polish), Polish-Lithuanian Commonwealth (historic official name, English), Rzeczpospolita Obojga NarodÑw (historic official name, Polish), United Commonwealth of the Two Nations (historic official name, English), POL;;;;
Portugal;Portuguese Republic (official, English), Lusitania (official, Latin), PRT;;;;
Qatar;State of Qatar, QAT;;;;
Puerto Rico;Estado Libre Asociado de Puerto Rico (official, Spanish), Commonwealth of Puerto Rico (official, English), Porto Rico (archaic, English);;;;
Romania;Romänia (official, Romanian), Rumania or Roumania (archaic, English), Kingdom of Romania (name under monarchy, English), Regatul Romäniei (name under monarchy, Romanian), Romanian People's Republic (former Communist name, English), Socialist Republic of Romania (former Communist name, English), Republica Socialist_ Romänia (former Communist name, Romanian), ROU;;;;
Russia;Russian Federation (official English description), Russland, (German), RF (initialism), Russian Socialist Federative Soviet Republic (former name, 1918-1936), Russian Soviet, RUS;;;;
Rwanda;Rwandese Republic (official, English), Republic of Rwanda (official, English, former), Ruanda (former colonial name), RWA;;;;
Saint Kitts and Nevis;Federation of Saint Kitts and Nevis (co-official, English), Federation of Saint Christopher and Nevis (co-official, English), Saint Christopher and Nevis (alternate short-form, English), Saint Christopher-Nevis-Anguilla (former official, English), Saint Kitts-Nevis-Anguilla (former common, English), Saint Kitts or Saint Christopher (shorthand, English), Liamuiga and Oualie (former indigenous names of the islands of Saint Kitts and Nevis, respectively), KNA;;;;
Saint Lucia;LCA;;;;
Saint Vincent and the Grenadines;VCT;;;;
Samoa;Independent State of Samoa, WSM;;;;
San Marino;Republic of San Marino, SMR;;;;
Sao Tome and Principe;Democratic Republic of Sao Tome and Principe, STP;;;;
Saudi Arabia ;Kingdom of Saudi Arabia (official, English), KSA (initialism), Saudia (former in English, common in Arabic) Al-Mamlaka al-Arabiyya as-Saudiyya (official name in Arabic), Hijaz, SAU;;;;
Senegal;Republic of Senegal, SEN;;;;
Serbia ;Republic of Serbia (official, English), Servia (archaic, English), Srbija (common, Serbian), Republika Srbija (official, Serbian), Serbia and Montenegro (former common, English), Yugoslavia (former common, English), Ra_ka (alternative name in medieval times), SRB;;;;
Seychelles;Republic of Seychelles, SYC;;;;
Sierra Leone;Republic of Sierra Leone, SLE;;;;
Singapore ;Republic of Singapore (official, English), Singapura (common, Malay), Sinhapura (Sanskrit, i.e., Land of Lions), SGP;;;;
Slovakia;Slovak Republic, SVK;;;;
Slovenia;Republic of Slovenia, SVN;;;;
Solomon Islands;SLB;;;;
Somalia;Federal Republic of Somalia, SOM;;;;
South Africa ;Azania, Mzansi (Xhosa, for South), Suid-Afrika (official, Afrikaans), Zuid-Afrika (former official, Dutch), Republic of South Africa, ZAF;;;;
South Sudan;Republic of South Sudan, SSD;;;;
Spain;Espa_a (common, Spanish), Reino de Espa_a (official, Spanish), Espanya (common, Catalan), Espainia (common, Euskera), Spanish State (former name, also used now with political nuances), Kingdom of Spain, ESP;;;;
Sri Lanka (common Sanskrit English);Ceylon (former, English), Democratic Socialist Republic of Sri Lanka (official, English), LKA;;;;
Sudan;Republic of the Sudan (official, English), The Sudan (alternate English), Anglo-Egyptian Sudan (colonial name, English), SDN;;;;
Suriname ;Dutch Guiana (former, English), Netherlands Guiana (former official, English), Republic of Suriname (official, English), Republiek Suriname (official, Dutch), SUR;;;;
Swaziland;Kingdom of Swaziland, SWZ;;;;
Sweden ;Sverige (common, Swedish, Danish, Norwegian), Konungariket Sverige (official, Swedish), Kingdom of Sweden (official, English), Svea Rike (possibly former/poetical, Swedish), Thule (Latin name, also poetic), Svitjod (Old Norse), SWE;;;;
Switzerland ;Swiss Confederation (official, English), Schweiz (common, German, Danish, Swedish), Schweizerische Eidgenossenschaft (official, German), Suisse (common, French), Conf_d_ration suisse (official, French), Svizzera (common, Italian), Confederazione Svizzera (official, Italian), Svizra (common, Romansh), Confederaziun Svizra (official, Romansh), Helvetia (Latin, sometimes used officially), CH (initialism), CHE;;;;
Syria;Syrian Arab Republic, SYR;;;;
Tajikistan;Republic of Tajikistan, TJK;;;;
Tanzania ;United Republic of Tanganyika and Zanzibar (former, English), United Republic of Tanzania (official, English);;;;
Thailand ;Siam (former, English), Kingdom of Thailand (official, English), THA;;;;
Timor-Leste;Democratic Republic of Timor-Leste, TLS;;;;
Togo;Togolese Republic, TGO;;;;
Tokelau;Associated Member of Tokelau, TKL;;;;
Tonga;Kingdom of Tonga, TON;;;;
Trinidad and Tobago ;Republic of Trinidad and Tobago, TTO;;;;
Tunisia;Republic of Tunisia (official, longform), TUN;;;;
Turkey;Republic of Turkey (official, English), TÙrkiye Cumhuriyeti (official, Turkish), TUR;;;;
Turkmenistan;TKM;;;;
Tuvalu;Tuvalu (short- and long-form name, English and Tuvaluan), Ellice Islands (colonial name, English), TUV;;;;
Uganda;Republic of Uganda, UGA;;;;
Ukraine;Ukraine (official), Ukra_na (Ukrainian), UA, UKR. (initialism), UKR;;;;
United Arab Emirates (shortened form);United Arab Emirates (English), UAE, U.A.E.;;;;
United Kingdom;United Kingdom of Great Britain and Northern Ireland (official, English), Britain (colloquial), Great Britain (colloquial), UK, U.K. (initialism), United Kingdom (short form), GBR;;;;
United States (shortened form);United States of America (official), America (colloquial and also former name originally), the States (colloquial), United States, US, U.S., USA, Usa, U.S.A., U.S.A;;;;
Uruguay;Eastern Republic of Uruguay, URY;;;;
Uzbekistan;Republic of Uzbekistan, UZB;;;;
Vanuatu;New Hebrides (former name under British and French condominium rule from 1906_1980), Niuhebridis (Bislama), Nouvelles Hebrides (former official name in French), Republic of Vanuatu, VUT;;;;
Venezuela;Bolivarian Republic of Venezuela, VEN;;;;
Vietnam;An Nam (former name in other foreign languages), Champa (historical kingdom), Socialist Republic of Vietnam (official, English), Viet Nam, S.R.V., VNM;;;;
Yemen;Republic of Yemen, YEM;;;;
Zambia;Northern Rhodesia (former, English), Republic of Zambia (official, English), ZMB;;;;
Zimbabwe;Rhodesia or Republic of Rhodesia (former names, English), Republic of Zimbabwe (official, English), Southern Rhodesia (former, English), ZWE;;;;
