Hungary ;"Republic of Hungary (official between 1946_1949 and 1989_2012), People's Republic of Hungary (official, 1918_1919 and 1949_1989), Kingdom of Hungary (1000_1918 and 1919_1946), Regnum Hungari_ (official in Latin, the language of administration until 1834), Hungaria (short form, Latin), Magyarorsz‡g (official Hungarian name; has been the commonly used form of the name during all its history), Magyar K_zt‡rsas‡g (Hungarian for ";;Republic of Hungary;;), Magyar N_pk_zt‡rsas‡g (Hungarian for ;;People's Republic of Hungary;;), Magyar Tan‡csk_zt‡rsas‡g (Hungarian name of the first People's Republic), Magyar Kir‡lys‡g (Hungarian for ;;Kingdom of Hungary;;)
Iceland ;Republic of Iceland (official English description), êsland (official Icelandic name), L__veldi_ êsland (official Icelandic description), Fold (poetic name), Thule (Latin name, also poetic), Fr—n, êsafold (both poetic);;;;;;;;;;;;
India ;"Bh_rat (or Bharatham) (official name in Hindi), Bh_rat Ga_ar_jya (official long form in Hindi), India (______ in Malayalam or _______ in Tamil script) (common name in English, Malayalam, and Tamil, as well as in Hindi/Urdu in big cities; official name in Malayalam and Tamil), Republic of India (official long form in English), Union of India, Hindustan (unofficial name in Hindi/Urdu), (Al-)Hind (name in Arabic/Persian/Urdu), Aryavarta (name in Sanskrit), Bh_rat Prajatantra (official long form in Bengali), Bh_ratavar_a (name in Sanskrit).";;;;;;;;;;;;
Indonesia;Nusantara (dating back from Hindu era), Insulinde (from the Colonial era), Indunesia (suggestion for Dutch East Indies' modern name), Indonesi‘ (common, Dutch);;;;;;;;;;;;
Iran;Persia was coined by ancient Greeks referring to Iran, which has always been the local name. Use of the Greek name continued in the west until 1932, when upon Iran's request, the local name of Iran became the internationally legal name, replacing Persia. Though both still remain in use today, outside of legal sphere. Faris in Arabic. Islamic Republic of Iran is the current official name.;;;;;;;;;;;;
Iraq;Mesopotamia (former name), Assyria (former/historical name), Babylon (former/historical name);;;;;;;;;;;;
Ireland (common and official English);ƒire (official Irish name), Irish Free State (1922_1937), Poblacht na hƒireann (official Irish description), Republic of Ireland (unofficial English description), Saorst‡t ƒireann (Irish 1922-1937), Erin, Banba, Fodla (three poetic names), Hibernia (Latin name, also poetic);;;;;;;;;;;;
Israel;State of Israel (official English name), _____ _____ (Medinat Yisra'el) (official Hebrew name), _______ ___________ (Dawlat Isra'il) (official Arabic name), Occupied Palestine (unofficial), the Jewish State (unofficial), the Hebrew State (unofficial), the Holy Land (___ _____) / Eretz Yisrael (___ _____) (Bible);;;;;;;;;;;;
Italy;Repubblica Italiana (official Italian name), Italia (common, Italian), Ausonia, Esperia, Enotria, Tirrenia (poetic names);;;;;;;;;;;;
Ivory Coast ;C™te d'Ivoire (common, French and official, English), the Republic of C™te d'Ivoire has asked that the French name be used in all languages;;;;;;;;;;;;
Jamaica;Xamayca (Spanish version of Taino name);;;;;;;;;;;;
Japan;Nippon (__?) (official name in Japanese), Nihon (alternate, more common reading of __ in Japanese), Yamato (__?) or _ (historic, ancient Japan), _yashima (___?) (meaning the country of eight great islands, historic), Cipangu/Zipangu or Gipangu (appeared in The Travels of Marco Polo in the 13th century);;;;;;;;;;;;
Jordan;Hashemite Kingdom of Jordan (official, English);;;;;;;;;;;;
Kazakhstan ;Republic of Kazakhstan (official English long name), Kazakhstan (English passport short name), Republic of Kazakhstan (English passport long name), _________ (official Kazakh short name), _________ ____________ (official Kazakh long name), Qazaqstan (Kazakh short name in Latin script), Alash / ____ / Ala_ (former name, also poetic), Kazakh Soviet Socialist Republic (former Soviet name, English), _____ ________ ___________ ____________/Qazaq Ke–estik Soc•al•stik Respwbl•kasõ (former Soviet name, Kazakh), _________ _________ ________________ __________, Kazakhskaya Sovetskaya Sotsialisticheskaya Respublika (former Soviet name, Russian);;;;;;;;;;;;
Kenya (conventional short form);Republic of Kenya (official, English), Jamhuri ya Kenya (official, Swahili), British East Africa Protectorate (former name when held in ÔprotectorateÕ status prior to becoming a colony starting in the 1880s until 1920), Kenya Colony (former name during British colonization, from the 1920 until 1963);;;;;;;;;;;;
North Korea ;Democratic People's Republic of Korea (official, English), D.P.R.K., DPRK (initialism, English), Choson Minjujuui Inmin Konghwaguk (___________) (official, Korean), Cho-son (__) (colloquial, Korean), Korea (conventional short form), Pyongyang Republic (derogatory name);;;;;;;;;;;;
South Korea ;Republic of Korea (official, English), R.O.K., ROK (initialism, English), Dae-han-min-guk (____) (official, Korean), Han-guk (__) (colloquial, Korean), Korea (conventional short form), Korea Republic (FIFA designation);;;;;;;;;;;;
Kosovo ;Republic of Kosovo (official, English), Republika e Kosov‘s (official, Albanian);;;;;;;;;;;;
Kyrgyzstan ;Kyrgyz Republic (official English long name), __________ (official Kyrgyz short name), ______ ____________ (official Kyrgyz long name), Kyrgyz Respublikasy (Kyrgyz short name in Latin script), ________ (official Russian short name), __________ __________ (official Russian long name), Kyrgyzskaya Respublika (Russian short name in Latin script), Kirghiz Soviet Socialist Republic (former Soviet name, English), ______ ________ ____________ ____________/Kyrgyz Sovettik Sotsialisttik Respublikasy (former Soviet name, Kyrgyz), __________ _________ ________________ __________/Kirgizskaya Sovetskaya Sotsialisticheskaya Respublika (former Soviet name, Russian), Kirghizia (former common English name prior to 1991), Kirgizstan (Russian transliteration of the English name), Republic of Kyrgyzstan (official English long name, 1990-1993);;;;;;;;;;;;
Latvia ;Latvija (common, Latvian), Lettland (German, Swedish), Letland (Dutch, Danish);;;;;;;;;;;;
Lebanon ;The Lebanese Republic (official, English), Al-Jumhuriyya Al-Lubnaniyya (official, Arabic), Lebnan or Lubnan (Common, Arabic), Liban (Common, French);;;;;;;;;;;;
Lesotho ;Basutoland (former, English), Kingdom of Lesotho (official, English);;;;;;;;;;;;
Lithuania ;Lietuva (common, Lithuanian), _____ (Litva) (common, Russian);;;;;;;;;;;;
Luxembourg ;"Grand Duchy of Luxembourg (official, English) Groussherzogdem L‘tzebuerg (official, Luxembourgish), L‘tzebuerg (common, Luxembourgish) Grand-Duch_ de Luxembourg (official, French), Luxembourg (common, French) Gro§herzogtum Luxemburg (official, German), Luxemburg (common, German) Luxemburgo (common, Spanish & Portuguese), Lussemburgo (common, Italian)";;;;;;;;;;;;
Malawi (common);Nyasaland (former, English), Republic of Malawi (official, English);;;;;;;;;;;;
Malaysia (official);Persekutuan Malaysia (official long form, Malay), Federation of Malaysia (official long form, English), Malaya, Sabah and Sarawak (former, English names of the various components), Tanah Melayu or Malay Land (former, Malay), ____/ M_l‡ix_yˆ (common, Mandarin), _______/ Malesiya (common, Tamil);;;;;;;;;;;;
Maldives (common);Republic of the Maldives (official), The Maldive Islands (colloquial, colonial), ____________/Dhivehi Raajje (official, Dhivehi), Mahal Dvipa or ______/Mal_ldvipa (ancient, Sanskrit), ______ __________/Dhibat-al-Mahal (ancient, Arabic);;;;;;;;;;;;
Mauritania (common);Islamic Republic of Mauritania (official, English), R_publique Islamique de Mauritanie (official, French);;;;;;;;;;;;
Mexico (shortened form);United Mexican States (official, English), Estados Unidos Mexicanos (official, Spanish), M_xico (Spanish short form), Repœblica Mexicana (Only heard in Mexico, colloquial, Spanish), M_jico (Spanish variant), MEX (initialism), MX (initialism), Aztl‡n, Aztl_n (Spanish, Nahuatl);;;;;;;;;;;;
Republic of Macedonia (official);__________ (official Macedonian), Macedonia, The former Yugoslav Republic of Macedonia, FYROM, Paeonia (Latin name, poetic), Vardar Banovina (former Yugoslav province);;;;;;;;;;;;
Moldova;Republic of Moldova (official), Republica Moldova (official, Moldovan and Romanian), Moldavian Soviet Socialist Republic (former Soviet name, English), _________ ________ __________ ____________ (former Soviet name, Moldovan), Bessarabia, Bassarabia (historic name, still used by irredentists), Bo_dan ('Land of Voyvoda I. Bogdan', former common and official name during Ottoman Empire, Turkish);;;;;;;;;;;;
Morocco;Kingdom of Morocco (official), Al Mamkaka Al Maghribiya (official, Arabic) means The Far west kingdom, Commonly known as Maghreb (The Sunset Country, English);;;;;;;;;;;;
Montenegro (official English and other languages);Crna Gora (official, Montenegrin, Serbian and Croatian), Republic of Montenegro (official until 2007), Republika Crna Gora (official until 2007), Mali i Zi (official, Albanian), Karadag (official, Turkish), Duklja (name in medieval times), Zeta (alternative name in medieval times), Black Mountain (literal translation into English);;;;;;;;;;;;
Myanmar;Republic of the Union of Myanmar (official), Burma (colloquial);;;;;;;;;;;;
Netherlands;Kingdom of the Netherlands (official, English), Koninkrijk der Nederlanden (official, Dutch), Nederland (Dutch), Holland (pars pro toto, English, Dutch and other languages), Batavia (former and poetic, English, Dutch and other languages), Pays-Bas (French, used alongside ;;Netherlands;; as names in the two official languages of the Int'l Olympic Committee);;;;;;;;
New Zealand ;Aotearoa (official, Maori), Realm of New Zealand (official English name including Cook Islands, Niue, Tokelau, and Ross Dependency), Dominion of New Zealand (former official, English);;;;;;;;;;;;
Norway ;Norge (common, Norwegian BokmŒl, Danish, Swedish), Noreg (common, Norwegian Nynorsk), Kingdom of Norway (official, English), Kongeriket Norge (official, Norwegian BokmŒl), Kongeriket Noreg (official, Norwegian Nynorsk);;;;;;;;;;;;
Nepal ;_____ ____________ ________ _____ sa_ghiya lokat_ntrika ga_atantra nep_la (official, Nepalese), Federal Democratic Republic Of Nepal (official, English);;;;;;;;;;;;
Pakistan ;Islamic Republic of Pakistan (official and constitutional, English), Federation of Pakistan (alternate official name, English), Dominion of Pakistan (historic official name, English), West Pakistan (common and later official name for the area now covering Pakistan, used when discussing the polity before the secession of Bangladesh), (unofficial historical names) Sindhustan and Indoscythia;;;;;;;;;;;;
Palau ;"Republic of Palau (official, English), Belau (common, Palauan; was also sometimes used by English speakers who supported Palauan independence before it was gained in 1994)";;;;;;;;;;;;
Peru ;Republic of Peru (official, English), Repœblica del Perœ (official, Spanish), Perœ (common, Spanish), Peruvian Republic (former official name, English), Repœblica Peruana (former official name, Spanish);;;;;;;;;;;;
Philippines ;"Repœblika ng Pilipinas (official, Filipino), Republic of the Philippines (official, English), Pilipinas (common, many local languages; corruption of the Spanish, Filipinas), Filipinas (common Spanish and other local languages, contraction of following), Las Islas Filipinas (named after Philip II of Spain, historical, Spanish; originally corruption of the following), Las Islas Felipenas (historical, by Ruy Lopez de Villalobos), 'Pin‡s (colloquial), PH (official initialism, changed from RP to avoid confusion with Poland; see below), Philippine Islands (historic; official name under American control; also used colloquially, English), Filipina (common, Malay), Har’ng Bayang Katagalugan (";;Sovereign Tagalog Nation;;, historical, by Andr_s Bonifacio), Islas de San L‡zaro (;;Isles of Saint Lazarus;;, historical, by Ferdinand Magellan);;;;
Poland ;Republic of Poland (official, English), Rzeczpospolita Polska (official, Polish), Polska (common, Polish), RP (often journalistic, Polish), People's Republic of Poland (former Communist name, English), Polska Rzeczpospolita Ludowa (former Communist name, Polish), Rzeczpospolita (historic common name, Polish), Polish-Lithuanian Commonwealth (historic official name, English), Rzeczpospolita Obojga Narod—w (historic official name, Polish), United Commonwealth of the Two Nations (historic official name, English);;;;;;;;;;;;
Portugal;"Portuguese Republic (official, English), Lusitania (official, Latin), Galaico-Portuguese nation and Portucale from the Gallaeci tribe (Celtic Gale and Roman-Celtic Portus Cale) and Galician-Portuguese (ethnic term derived from the original language), Ophiussa also spelled Ophiusa (the ancient Greek name of what is now the Portuguese territory. It means Land of Serpents), Portugalensis patrie, Portugalensium patrie and Portugaliae by King Afonso I, Regno Portugalensium and Portugalis (Latin, Medieval), Portugalliae et Algarbiae, Portugalliae, Lusitaniae (Latin), Purtugall (Middle Ages), Burtugh_l is the word for Portugal and orange in Arabic (Portuguese influence and expansion), Portingall or Portingal (common classical English and other late medieval Germanic languages), Ocidental Praia Lusitana (Western Lusitanian Beach) and P‡tria Lusitana (Lusitanian Fatherland) from the national poem Os Lus’adas and from all epic poetry and chronicles of the Late Middle Ages and Renaissance. Luxitania and Portugraal (Port of Grail) in Esotericism and metaphysical literature";;;;;;;;;;;;
Puerto Rico (common English and Spanish);Estado Libre Asociado de Puerto Rico (official, Spanish), Commonwealth of Puerto Rico (official, English), Porto Rico (archaic, English), Associated Free State of Puerto Rico (non-official literal translation to English of the official Spanish name), Borik_n, Borinquen, or Borinken (former Ta’no name also used colloquially and among nationalists);;;;;;;;;;;;
Romania;Rom‰nia (official, Romanian), Rumania or Roumania (archaic, English), Kingdom of Romania (name under monarchy, English), Regatul Rom‰niei (name under monarchy, Romanian), Romanian People's Republic (former Communist name, English), Republica Popular_ Rom”n_ (former Communist name, Romanian), Socialist Republic of Romania (former Communist name, English), Republica Socialist_ Rom‰nia (former Communist name, Romanian);;;;;;;;;;;;
Russia;Russian Federation (official English description), __________ _________ (official Russian), Russia, (official and common name, ambiguous, English), Russland, (German), ______ (Rossiya) (common, Russian), RF (initialism), Russian Socialist Federative Soviet Republic (former name, 1918-1936), Russian Soviet Federative Socialist Republic (former name, 1936-1991), RSFSR (former name initialism), Soviet Union (former name), Union of Soviet Socialist Republics (official former name), USSR (former initialism), ____ _________ ________________ _________ (former official name, Russian), Soyuz Sovetskikh Sotsialisticheskikh Respublik (former official name, transliterated), ____ (former initialism, Russian), SSSR (former initialism), SU (common, but former initialism), __________ _____ (common former name, Russian), Sovetskiy Soyuz (common former name, transliterated), Rus (poetic or obsolete name, ambiguous), Great Russia (obsolete name);;;;;;;;;;;;
Rwanda;Rwandese Republic (official, English), Republic of Rwanda (official, English, former), R_publique du Rwanda (official, French), Repubulika y'u Rwanda (official, Kinyarwanda), Pays des mille collines (poetic, French), Ruanda (former colonial name);;;;;;;;
Saint Kitts and Nevis;Federation of Saint Kitts and Nevis (co-official, English), Federation of Saint Christopher and Nevis (co-official, English), Saint Christopher and Nevis (alternate short-form, English), Saint Christopher-Nevis-Anguilla (former official, English), Saint Kitts-Nevis-Anguilla (former common, English), Saint Kitts or Saint Christopher (shorthand, English), Liamuiga and Oualie (former indigenous names of the islands of Saint Kitts and Nevis, respectively);;;;;;;;;;;;
Saudi Arabia ;Kingdom of Saudi Arabia (official, English), KSA (initialism), Saudia (former in English, common in Arabic) Al-Mamlaka al-Arabiyya as-Saudiyya (official name in Arabic), Hijaz;;;;;;;;;;;;
Serbia ;Republic of Serbia (official, English), Servia (archaic, English), Srbija (common, Serbian), Republika Srbija (official, Serbian), Serbia and Montenegro (former common, English), Yugoslavia (former common, English), Ra_ka (alternative name in medieval times);;;;;;;;;;;;
Singapore ;"Republic of Singapore (official, English), Singapura (common, Malay), Sinhapura (Sanskrit, i.e., Land of Lions), X_nji_p_/___ (common, Chinese), Ci_kapp_r/___________ (common, Tamil), Pulau Ujong (historical, ancient), Sh_nan-t_/___ (former, Japanese occupation), little red dot (colloquial; originally derogatory)";;;;;;;;;;;;
South Africa ;Azania, Mzansi (Xhosa, for South), Suid-Afrika (official, Afrikaans), Zuid-Afrika (former official, Dutch);;;;;;;;;;;;
Spain;Espa–a (common, Spanish), Reino de Espa–a (official, Spanish), Espanya (common, Catalan), Espainia (common, Euskera), Spanish State (former name, also used now with political nuances), la piel de toro (Spanish) / la pell de brau (Catalan) (;;the bull hide;;, metaphoric name after the shape of the Iberian Peninsula), Las Batuecas (derogatory name in the works of Mariano Jos_ de Larra) Iberia (Latin);;;;;;;;
Sri Lanka (common Sanskrit English);Ceylon (former, English), Democratic Socialist Republic of Sri Lanka (official, English)/______ ______ ________ ________(official,Tamil), Heladiva (Land of Sinhalese) (former, Sinhala), Ratnadeepa (Island of Gems) (former, Sinhala), elangai/______ (common, Tamil), Taprobane (one of the medieval names of Sri Lanka);;;;;;;;;;;;
Sudan;Republic of the Sudan (official, English), The Sudan (alternate English), Anglo-Egyptian Sudan (colonial name, English), Mahdist State (former English unofficial), Nubia (ancient name, also poetic);;;;;;;;;;;;
Suriname ;Dutch Guiana (former, English), Netherlands Guiana (former official, English), Republic of Suriname (official, English), Republiek Suriname (official, Dutch), Surinam (English name until 1978);;;;;;;;;;;;
Sweden ;Sverige (common, Swedish, Danish, Norwegian), Konungariket Sverige (official, Swedish), Kingdom of Sweden (official, English), Svea Rike (possibly former/poetical, Swedish), Thule (Latin name, also poetic), Svitjod (Old Norse);;;;;;;;;;;;
Switzerland ;Swiss Confederation (official, English), Schweiz (common, German, Danish, Swedish), Schweizerische Eidgenossenschaft (official, German), Suisse (common, French), Conf_d_ration suisse (official, French), Svizzera (common, Italian), Confederazione Svizzera (official, Italian), Svizra (common, Romansh), Confederaziun Svizra (official, Romansh), Confoederatio Helvetica, Helvetia (Latin, sometimes used officially), CH (initialism);;;;;;;;;;;;
Tanzania ;United Republic of Tanganyika and Zanzibar (former, English), United Republic of Tanzania (official, English). Deutsch-Ostafrika, together with Ruanda and Urundi (= German East Africa, colonial name until 1918). The country is named after Tanganyika, its mainland part, and the Zanzibar islands off its east coast.;;;;;;;;;;;;
Thailand ;Siam (former, English), __________ (former, Thai), Kingdom of Thailand (official, English), ______________ (official, Thai), _________ (common, Thai);;;;;;;;;;;;
Transnistria;Pridnestrovie (official shortform name), Pridnestrovskaia Moldavskaia Respublica (official, longform);;;;;;;;;;;;
Trinidad and Tobago ;Iere (poetic, ;;Land of the Hummingbird,;; believed to be derived from Arawak), Republic of Trinidad and Tobago (official, English), Trinbago (informal, English);;;;;;;;
Tunisia;____(official, Arabic)(common, French, English) Tunisia (official shortform name), Republic of Tunisia (official, longform), _________ ________, (official, Arabic);;;;;;;;;;;;
Turkey;Republic of Turkey (official, English), TŸrkiye Cumhuriyeti (official, Turkish), Asia Minor (geographical, English), Anatolia (geographical, English), Ottoman Empire (former, English), Turkish Empire (former unofficial, English), Porte or Sublime Porte (English descriptions of the former Ottoman state);;;;;;;;;;;;
Tuvalu;Tuvalu (short- and long-form name, English and Tuvaluan), Ellice Islands (colonial name, English);;;;;;;;;;;;
Ukraine (shortened form);Ukraine (official), Ukra_na (Ukrainian), UA, UKR. (initialism), Kievan Rus' (Former name for of East Slavic tribes in Europe from the late 9th to the mid-13th century), Kingdom of Galicia_Volhynia or Kingdom of Ruthenia (historic name of Western Ukraine), Zaporizhian Host (is an adopted name in historiography for the Ukrainian Cossack state on the territory of Dnieper Ukraine and Siveria that existed between 1649 and 1764);;;;;;;;;;;;
United Arab Emirates (shortened form);United Arab Emirates (English), Trucial States (English, prior to 1971), Al Emirat al Arabbiya al Muttahida (official, Arabic) UAE, U.A.E. (English initialism);;;;;;;;;;;;
United Kingdom (shortened form);United Kingdom of Great Britain and Northern Ireland (official, English), Britain (colloquial), Great Britain (colloquial), UK, U.K. (initialism), United Kingdom (short form), Albion (poetic, Latin), Britannia (poetic, Latin), Perfidious Albion if said by an old enemy (mainly humorous today), Anglia (poetic, Latin, refers specifically to England), Alba (Scottish, Gaelic-refers specifically to Scotland), Caledonia (poetic, Latin-refers specifically to Scotland), Cymru (official, Welsh-refers specifically to Wales), Ulster (colloquial, refers specifically to Northern Ireland);;;;;;;;;;;;
United States (shortened form);"United States of America (official), America (colloquial and also former name originally), the States (colloquial), US, U.S., USA, Usa, U.S.A., U.S.A (initialism), Columbia (Latin, poetic), Freedonia, Appalachia, Alleghany (names proposed after American Revolutionary War), United States (short form), Usonia (used by James Duff Law and popularized by Frank Lloyd Wright), Usono (Esperanto; comes from Usona in English)";;;;;;;;;;;;
Vanuatu (common);New Hebrides (former name under British and French condominium rule from 1906_1980), Niuhebridis (Bislama), Nouvelles Hebrides (former official name in French), R_publique de Vanuatu (French), Ripablik blong Vanuatu (Bislama), Vanuatri (jocular name used in humour)[citation needed];;;;;;;;;;;;
Vietnam (common);An Nam (former name in other foreign languages), Champa (historical kingdom), __i Vi_t (historical kingdom), Giao Ch_ (former Chinese province or vassal kingdom),French Indochina (former name under French colonization when united with Laos and Cambodia, English), L_nh Nam (poetic name), Socialist Republic of Vietnam (official, English), parted in North Vietnam (Democratic Republic of Vietnam) and South Vietnam (Republic of Vietnam) from 1954 to 1975, C_ng h˜a X‹ h_i Ch_ ngh_a Vi_t Nam (official, Vietnamese), Vi_t Nam (short form, Vietnamese), SRV, S.R.V., VN, V.N. (English initialism);;;;;;;;;;;;
Zambia (common);Northern Rhodesia (former, English), Republic of Zambia (official, English);;;;;;;;;;;;
